text@tk1984m	@tk1984m	91.875	96.075	я шучу я шучу / я хотел какое-то другое третье не в тему слово сказать //
text@tk1984m	@tk1984m	99.975	101.35	идентифицировал //
text@tk1984m	@tk1984m	110.65	113.548	сто процентов / это называется предпродакшн //
text@tk1984m	@tk1984m	121.038	122.0	абсолютно верно / абсолютно верно //
text@tk1984m	@tk1984m	139.87	147.516	а ты не пробовал делать так / ты засыпаешь крупу / да ? и откладываешь кашу от плиты / ты так делаешь ?
text@tk1984m	@tk1984m	147.902	181.419	вот смотри вот я тебе говорю / ты засыпаешь крупу / и откладываешь от плиты кастрюлю / откладываешь / и пусть эта каша привыкнет к этой температуре // понимаешь да о чем я говорю ? пусть она привыкнет к этой температуре / пусть она станет / пусть произойдет этот химический обмен / пусть они станут единым целым / и вот тогда /  их  короче / кашу и жидкость / будь это молоко / будь это вода / и их надо воссоединить и уже потом с ними работать // понимаешь да о чем я говорю ? 
text@tk1984m	@tk1984m	182.547	190.451	нет это так я тебе говорю / это так и есть // то есть пусть они друг к другу привыкнуть / и вот тогда ты начинаешь с ними делать то что ты делаешь //
text@tk1984m	@tk1984m	242.509	243.666	без единого комка //
text@tk1984m	@tk1984m	244.293	248.489	братан / если ты мне сделаешь кашу и там будет хотя бы один комок //
text@tk1984m	@tk1984m	262.607	280.038	а у тебя есть такое чувство что вот в две тыщи двадцатом надо типа изменить себя / надо стать немножко другим / и так далее // у меня опять эти чувства появились / но потом я думаю / все / куда себя менять // надо / да нет / надо вот просто // просто улучшать то что есть  //
text@tk1984m	@tk1984m	297.705	298.274	да //
text@tk1984m	@tk1984m	308.234	323.705	ты так говоришь про / про работу над собой / что ты имеешь в виду ? допустим я имею в виду / знаешь вот моя самая основная тема / я всегда говорю / нужно больше читать / нужно больше читать / нужно больше читать / но // блин / иногда ну просто реально нету на это времени  //
text@tk1984m	@tk1984m	327.313	328.097	или да
text@tk1984m	@tk1984m	328.783	330.94	сколько книг в год достаточно ?
text@tk1984m	@tk1984m	334.529	335.764	ты уже все прочитал просто
text@tk1984m	@tk1984m	348.509	350.391	блин / был бы крутой сериал на нетфликс //
text@tk1984m	@tk1984m	354.254	355.235	вся кремлевская рать //
text@tk1984m	@tk1984m	355.862	360.49	вот это было бы крутое очень // вот / надо именно чтобы это сделали / не в россии //
text@tk1984m	@tk1984m	360.548	364.293	да / ну либо  в россии / но очень независимые люди //
text@tk1984m	@tk1984m	365.352	367.077	без государственной поддержки //
words@ayk1984m	@ayk1984m	0.29	0.472	я
words@ayk1984m	@ayk1984m	0.472	0.654	на
words@ayk1984m	@ayk1984m	0.654	0.836	самом
words@ayk1984m	@ayk1984m	0.836	1.018	деле
